,totalPoints,qualPoints,alliancePoints,playoffPoints,awardPoints
772,113,15,18,20,60
11444,101,12,19,40,30
28656,87,16,19,40,12
18984,55,13,20,10,12
13900,46,16,20,10,0
23345,43,14,17,0,12
327,39,11,16,0,12
25068,35,12,18,5,0
28370,31,11,15,5,0
23816,30,14,16,0,0
10021,27,10,17,0,0
11454,18,3,15,0,0
23855,16,4,0,0,12
24250,15,3,0,0,12
9121,14,2,0,0,12
17621,9,9,0,0,0
24911,9,9,0,0,0
3641,8,8,0,0,0
24048,8,8,0,0,0
23360,7,7,0,0,0
14914,6,6,0,0,0
15773,6,6,0,0,0
24103,5,5,0,0,0
25970,5,5,0,0,0
